Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
01.05.2022;2022-05-01 02:00:00.000;295;Точка продаж 16
01.05.2022;2022-05-01 04:30:00.000;3 150;Точка продаж 16
01.05.2022;2022-05-01 05:00:00.000;13 865;Точка продаж 16
01.05.2022;2022-05-01 05:30:00.000;8 020;Точка продаж 16
01.05.2022;2022-05-01 06:00:00.000;3 310;Точка продаж 16
01.05.2022;2022-05-01 06:30:00.000;9 465;Точка продаж 16
01.05.2022;2022-05-01 07:00:00.000;23 234;Точка продаж 16
01.05.2022;2022-05-01 07:30:00.000;12 380;Точка продаж 16
01.05.2022;2022-05-01 08:00:00.000;37 807,5;Точка продаж 16
01.05.2022;2022-05-01 08:30:00.000;30 355;Точка продаж 16
01.05.2022;2022-05-01 09:00:00.000;18 705;Точка продаж 16
01.05.2022;2022-05-01 09:30:00.000;18 310;Точка продаж 16
01.05.2022;2022-05-01 10:00:00.000;27 873,5;Точка продаж 16
01.05.2022;2022-05-01 10:30:00.000;11 960;Точка продаж 16
01.05.2022;2022-05-01 11:00:00.000;17 880;Точка продаж 16
01.05.2022;2022-05-01 11:30:00.000;12 600;Точка продаж 16
01.05.2022;2022-05-01 12:00:00.000;49 292,5;Точка продаж 16
01.05.2022;2022-05-01 12:30:00.000;29 125;Точка продаж 16
01.05.2022;2022-05-01 13:00:00.000;17 710;Точка продаж 16
01.05.2022;2022-05-01 13:30:00.000;23 235;Точка продаж 16
01.05.2022;2022-05-01 14:00:00.000;41 960;Точка продаж 16
01.05.2022;2022-05-01 14:30:00.000;17 424;Точка продаж 16
01.05.2022;2022-05-01 15:00:00.000;11 705;Точка продаж 16
01.05.2022;2022-05-01 15:30:00.000;33 541;Точка продаж 16
01.05.2022;2022-05-01 16:00:00.000;47 995;Точка продаж 16
01.05.2022;2022-05-01 16:30:00.000;5 915;Точка продаж 16
01.05.2022;2022-05-01 17:00:00.000;13 135;Точка продаж 16
01.05.2022;2022-05-01 17:30:00.000;31 540;Точка продаж 16
01.05.2022;2022-05-01 18:00:00.000;25 385;Точка продаж 16
01.05.2022;2022-05-01 18:30:00.000;14 925;Точка продаж 16
