Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
13.05.2022;2022-05-13 02:30:00.000;796,5;Точка продаж 5
13.05.2022;2022-05-13 04:00:00.000;1 768,1;Точка продаж 5
13.05.2022;2022-05-13 04:30:00.000;264;Точка продаж 5
13.05.2022;2022-05-13 05:00:00.000;612;Точка продаж 5
13.05.2022;2022-05-13 05:30:00.000;607;Точка продаж 5
13.05.2022;2022-05-13 06:00:00.000;2 177,6;Точка продаж 5
13.05.2022;2022-05-13 06:30:00.000;3 324,5;Точка продаж 5
13.05.2022;2022-05-13 07:00:00.000;1 822;Точка продаж 5
13.05.2022;2022-05-13 07:30:00.000;5 758,9;Точка продаж 5
13.05.2022;2022-05-13 08:00:00.000;4 273;Точка продаж 5
13.05.2022;2022-05-13 08:30:00.000;4 996,5;Точка продаж 5
13.05.2022;2022-05-13 09:00:00.000;2 061;Точка продаж 5
13.05.2022;2022-05-13 09:30:00.000;7 771;Точка продаж 5
13.05.2022;2022-05-13 10:00:00.000;3 112;Точка продаж 5
13.05.2022;2022-05-13 10:30:00.000;3 887,5;Точка продаж 5
13.05.2022;2022-05-13 11:00:00.000;12 216,5;Точка продаж 5
13.05.2022;2022-05-13 11:30:00.000;10 600;Точка продаж 5
13.05.2022;2022-05-13 12:00:00.000;15 209;Точка продаж 5
13.05.2022;2022-05-13 12:30:00.000;8 399;Точка продаж 5
13.05.2022;2022-05-13 13:00:00.000;11 459,6;Точка продаж 5
13.05.2022;2022-05-13 13:30:00.000;11 946;Точка продаж 5
13.05.2022;2022-05-13 14:00:00.000;11 528;Точка продаж 5
13.05.2022;2022-05-13 14:30:00.000;13 676,5;Точка продаж 5
13.05.2022;2022-05-13 15:00:00.000;9 886,5;Точка продаж 5
13.05.2022;2022-05-13 15:30:00.000;10 309,5;Точка продаж 5
13.05.2022;2022-05-13 16:00:00.000;11 533,9;Точка продаж 5
13.05.2022;2022-05-13 16:30:00.000;7 454,5;Точка продаж 5
13.05.2022;2022-05-13 17:00:00.000;8 639;Точка продаж 5
13.05.2022;2022-05-13 17:30:00.000;4 767;Точка продаж 5
13.05.2022;2022-05-13 18:00:00.000;5 222,5;Точка продаж 5
13.05.2022;2022-05-13 18:30:00.000;7 436,8;Точка продаж 5
13.05.2022;2022-05-13 19:00:00.000;5 509;Точка продаж 5
13.05.2022;2022-05-13 19:30:00.000;8 665,5;Точка продаж 5
13.05.2022;2022-05-13 20:00:00.000;4 446;Точка продаж 5
13.05.2022;2022-05-13 20:30:00.000;1 085,5;Точка продаж 5
13.05.2022;2022-05-13 21:00:00.000;3 203,5;Точка продаж 5
13.05.2022;2022-05-13 21:30:00.000;3 350,5;Точка продаж 5
13.05.2022;2022-05-13 22:00:00.000;3 119,5;Точка продаж 5
13.05.2022;2022-05-13 22:30:00.000;2 280,5;Точка продаж 5
13.05.2022;2022-05-13 23:00:00.000;1 534,5;Точка продаж 5
13.05.2022;2022-05-13 23:30:00.000;853;Точка продаж 5
13.05.2022;2022-05-13 13:00:00.000;625;Точка продаж 6
13.05.2022;2022-05-13 13:30:00.000;250;Точка продаж 6
13.05.2022;2022-05-13 14:00:00.000;375;Точка продаж 6
13.05.2022;2022-05-13 15:00:00.000;650;Точка продаж 6
13.05.2022;2022-05-13 15:30:00.000;125;Точка продаж 6
13.05.2022;2022-05-13 16:30:00.000;125;Точка продаж 6
13.05.2022;2022-05-13 17:00:00.000;250;Точка продаж 6
13.05.2022;2022-05-13 17:30:00.000;275;Точка продаж 6
13.05.2022;2022-05-13 18:00:00.000;125;Точка продаж 6
13.05.2022;2022-05-13 18:30:00.000;250;Точка продаж 6
13.05.2022;2022-05-13 19:30:00.000;125;Точка продаж 6
13.05.2022;2022-05-13 20:00:00.000;500;Точка продаж 6
13.05.2022;2022-05-13 20:30:00.000;125;Точка продаж 6
13.05.2022;2022-05-13 21:00:00.000;250;Точка продаж 6
13.05.2022;2022-05-13 21:30:00.000;250;Точка продаж 6
13.05.2022;2022-05-13 00:30:00.000;1 350;Точка продаж 7
13.05.2022;2022-05-13 01:00:00.000;4 500;Точка продаж 7
13.05.2022;2022-05-13 02:00:00.000;1 350;Точка продаж 7
13.05.2022;2022-05-13 02:30:00.000;900;Точка продаж 7
13.05.2022;2022-05-13 03:00:00.000;2 925;Точка продаж 7
13.05.2022;2022-05-13 03:30:00.000;675;Точка продаж 7
13.05.2022;2022-05-13 04:30:00.000;675;Точка продаж 7
13.05.2022;2022-05-13 05:00:00.000;450;Точка продаж 7
13.05.2022;2022-05-13 05:30:00.000;225;Точка продаж 7
13.05.2022;2022-05-13 08:00:00.000;225;Точка продаж 7
13.05.2022;2022-05-13 09:00:00.000;1 125;Точка продаж 7
13.05.2022;2022-05-13 09:30:00.000;1 350;Точка продаж 7
13.05.2022;2022-05-13 10:30:00.000;675;Точка продаж 7
13.05.2022;2022-05-13 13:00:00.000;1 575;Точка продаж 7
13.05.2022;2022-05-13 13:30:00.000;450;Точка продаж 7
13.05.2022;2022-05-13 14:00:00.000;450;Точка продаж 7
13.05.2022;2022-05-13 14:30:00.000;900;Точка продаж 7
13.05.2022;2022-05-13 15:00:00.000;225;Точка продаж 7
13.05.2022;2022-05-13 15:30:00.000;1 800;Точка продаж 7
13.05.2022;2022-05-13 16:00:00.000;900;Точка продаж 7
13.05.2022;2022-05-13 17:30:00.000;675;Точка продаж 7
13.05.2022;2022-05-13 19:30:00.000;225;Точка продаж 7
13.05.2022;2022-05-13 20:00:00.000;900;Точка продаж 7
13.05.2022;2022-05-13 20:30:00.000;225;Точка продаж 7
13.05.2022;2022-05-13 21:00:00.000;675;Точка продаж 7
13.05.2022;2022-05-13 21:30:00.000;1 575;Точка продаж 7
13.05.2022;2022-05-13 23:30:00.000;2 150;Точка продаж 7
13.05.2022;2022-05-13 00:00:00.000;1 493;Точка продаж 8
13.05.2022;2022-05-13 00:30:00.000;3 500;Точка продаж 8
13.05.2022;2022-05-13 03:00:00.000;1 438,5;Точка продаж 8
13.05.2022;2022-05-13 03:30:00.000;539;Точка продаж 8
13.05.2022;2022-05-13 04:00:00.000;758;Точка продаж 8
13.05.2022;2022-05-13 05:00:00.000;2 459;Точка продаж 8
13.05.2022;2022-05-13 05:30:00.000;4 352;Точка продаж 8
13.05.2022;2022-05-13 06:00:00.000;1 428;Точка продаж 8
13.05.2022;2022-05-13 06:30:00.000;8 987;Точка продаж 8
13.05.2022;2022-05-13 07:00:00.000;6 927,5;Точка продаж 8
13.05.2022;2022-05-13 07:30:00.000;4 547,5;Точка продаж 8
13.05.2022;2022-05-13 08:00:00.000;9 992,5;Точка продаж 8
13.05.2022;2022-05-13 08:30:00.000;7 126,5;Точка продаж 8
13.05.2022;2022-05-13 09:00:00.000;5 373,5;Точка продаж 8
13.05.2022;2022-05-13 09:30:00.000;4 851,5;Точка продаж 8
13.05.2022;2022-05-13 10:00:00.000;4 991,2;Точка продаж 8
13.05.2022;2022-05-13 10:30:00.000;3 808;Точка продаж 8
13.05.2022;2022-05-13 11:00:00.000;9 892,8;Точка продаж 8
13.05.2022;2022-05-13 11:30:00.000;5 939,5;Точка продаж 8
13.05.2022;2022-05-13 12:00:00.000;4 294;Точка продаж 8
13.05.2022;2022-05-13 12:30:00.000;3 743;Точка продаж 8
13.05.2022;2022-05-13 13:00:00.000;4 534;Точка продаж 8
13.05.2022;2022-05-13 13:30:00.000;6 925,5;Точка продаж 8
13.05.2022;2022-05-13 14:00:00.000;11 420,5;Точка продаж 8
13.05.2022;2022-05-13 14:30:00.000;5 487,5;Точка продаж 8
13.05.2022;2022-05-13 15:00:00.000;8 611;Точка продаж 8
13.05.2022;2022-05-13 15:30:00.000;14 636;Точка продаж 8
13.05.2022;2022-05-13 16:00:00.000;11 139,5;Точка продаж 8
13.05.2022;2022-05-13 16:30:00.000;6 249,5;Точка продаж 8
13.05.2022;2022-05-13 17:00:00.000;5 813;Точка продаж 8
13.05.2022;2022-05-13 17:30:00.000;10 152,5;Точка продаж 8
13.05.2022;2022-05-13 18:00:00.000;9 232,5;Точка продаж 8
13.05.2022;2022-05-13 18:30:00.000;2 571;Точка продаж 8
13.05.2022;2022-05-13 19:00:00.000;11 910,5;Точка продаж 8
13.05.2022;2022-05-13 19:30:00.000;12 073;Точка продаж 8
13.05.2022;2022-05-13 20:00:00.000;9 090;Точка продаж 8
13.05.2022;2022-05-13 20:30:00.000;4 776,5;Точка продаж 8
13.05.2022;2022-05-13 21:00:00.000;16 672,5;Точка продаж 8
13.05.2022;2022-05-13 21:30:00.000;9 671;Точка продаж 8
13.05.2022;2022-05-13 22:00:00.000;6 410,5;Точка продаж 8
13.05.2022;2022-05-13 22:30:00.000;8 822,5;Точка продаж 8
13.05.2022;2022-05-13 23:00:00.000;3 595;Точка продаж 8
13.05.2022;2022-05-13 23:30:00.000;2 910;Точка продаж 8
13.05.2022;2022-05-13 00:00:00.000;9 674,25;Точка продаж 9
13.05.2022;2022-05-13 00:30:00.000;5 505;Точка продаж 9
13.05.2022;2022-05-13 01:00:00.000;1 751,935;Точка продаж 9
13.05.2022;2022-05-13 02:00:00.000;275;Точка продаж 9
13.05.2022;2022-05-13 04:30:00.000;2 745;Точка продаж 9
13.05.2022;2022-05-13 05:00:00.000;4 004,505;Точка продаж 9
13.05.2022;2022-05-13 05:30:00.000;496,65;Точка продаж 9
13.05.2022;2022-05-13 06:00:00.000;6 339,92;Точка продаж 9
13.05.2022;2022-05-13 06:30:00.000;10 274,06;Точка продаж 9
13.05.2022;2022-05-13 07:00:00.000;11 267,415;Точка продаж 9
13.05.2022;2022-05-13 07:30:00.000;13 873,61;Точка продаж 9
13.05.2022;2022-05-13 08:00:00.000;10 653,185;Точка продаж 9
13.05.2022;2022-05-13 08:30:00.000;13 422,935;Точка продаж 9
13.05.2022;2022-05-13 09:00:00.000;13 735,125;Точка продаж 9
13.05.2022;2022-05-13 09:30:00.000;6 993,415;Точка продаж 9
13.05.2022;2022-05-13 10:00:00.000;3 429,39;Точка продаж 9
13.05.2022;2022-05-13 10:30:00.000;7 658,505;Точка продаж 9
13.05.2022;2022-05-13 11:00:00.000;3 630;Точка продаж 9
13.05.2022;2022-05-13 11:30:00.000;9 489,095;Точка продаж 9
13.05.2022;2022-05-13 12:00:00.000;3 610;Точка продаж 9
13.05.2022;2022-05-13 12:30:00.000;12 491,2;Точка продаж 9
13.05.2022;2022-05-13 13:00:00.000;12 149,425;Точка продаж 9
13.05.2022;2022-05-13 13:30:00.000;10 795,75;Точка продаж 9
13.05.2022;2022-05-13 14:00:00.000;14 111,835;Точка продаж 9
13.05.2022;2022-05-13 14:30:00.000;8 647,555;Точка продаж 9
13.05.2022;2022-05-13 15:00:00.000;9 173,455;Точка продаж 9
13.05.2022;2022-05-13 15:30:00.000;15 534,95;Точка продаж 9
13.05.2022;2022-05-13 16:00:00.000;17 627,35;Точка продаж 9
13.05.2022;2022-05-13 16:30:00.000;11 307,9;Точка продаж 9
13.05.2022;2022-05-13 17:00:00.000;13 220,55;Точка продаж 9
13.05.2022;2022-05-13 17:30:00.000;7 845;Точка продаж 9
13.05.2022;2022-05-13 18:00:00.000;11 261,675;Точка продаж 9
13.05.2022;2022-05-13 18:30:00.000;7 722,05;Точка продаж 9
13.05.2022;2022-05-13 19:00:00.000;7 622,11;Точка продаж 9
13.05.2022;2022-05-13 19:30:00.000;7 073,18;Точка продаж 9
13.05.2022;2022-05-13 20:00:00.000;11 229,715;Точка продаж 9
13.05.2022;2022-05-13 20:30:00.000;5 263,5;Точка продаж 9
13.05.2022;2022-05-13 21:00:00.000;5 550;Точка продаж 9
13.05.2022;2022-05-13 21:30:00.000;10 015,755;Точка продаж 9
13.05.2022;2022-05-13 22:00:00.000;9 887,3;Точка продаж 9
13.05.2022;2022-05-13 22:30:00.000;6 522,5;Точка продаж 9
13.05.2022;2022-05-13 23:00:00.000;9 952,1;Точка продаж 9
13.05.2022;2022-05-13 23:30:00.000;3 949,5;Точка продаж 9
14.05.2022;2022-05-14 03:30:00.000;100;Точка продаж 1
14.05.2022;2022-05-14 07:30:00.000;150;Точка продаж 1
14.05.2022;2022-05-14 08:30:00.000;500;Точка продаж 1
14.05.2022;2022-05-14 09:00:00.000;215;Точка продаж 1
14.05.2022;2022-05-14 10:30:00.000;128;Точка продаж 1
14.05.2022;2022-05-14 11:30:00.000;375;Точка продаж 1
14.05.2022;2022-05-14 12:00:00.000;250;Точка продаж 1
14.05.2022;2022-05-14 12:30:00.000;90;Точка продаж 1
14.05.2022;2022-05-14 13:00:00.000;385;Точка продаж 1
14.05.2022;2022-05-14 13:30:00.000;128;Точка продаж 1
14.05.2022;2022-05-14 14:30:00.000;200;Точка продаж 1
14.05.2022;2022-05-14 15:00:00.000;145;Точка продаж 1
14.05.2022;2022-05-14 15:30:00.000;175;Точка продаж 1
14.05.2022;2022-05-14 17:30:00.000;68;Точка продаж 1
14.05.2022;2022-05-14 18:00:00.000;68;Точка продаж 1
14.05.2022;2022-05-14 19:30:00.000;200;Точка продаж 1
14.05.2022;2022-05-14 20:30:00.000;235;Точка продаж 1
14.05.2022;2022-05-14 22:00:00.000;120;Точка продаж 1
14.05.2022;2022-05-14 00:00:00.000;391,5;Точка продаж 10
14.05.2022;2022-05-14 00:30:00.000;1 706,5;Точка продаж 10
14.05.2022;2022-05-14 01:00:00.000;606;Точка продаж 10
14.05.2022;2022-05-14 02:00:00.000;456;Точка продаж 10
14.05.2022;2022-05-14 02:30:00.000;259;Точка продаж 10
14.05.2022;2022-05-14 04:30:00.000;236;Точка продаж 10
14.05.2022;2022-05-14 05:00:00.000;2 101;Точка продаж 10
14.05.2022;2022-05-14 05:30:00.000;728,5;Точка продаж 10
14.05.2022;2022-05-14 06:00:00.000;1 793;Точка продаж 10
14.05.2022;2022-05-14 06:30:00.000;5 526,5;Точка продаж 10
14.05.2022;2022-05-14 07:00:00.000;3 562;Точка продаж 10
14.05.2022;2022-05-14 07:30:00.000;3 767,5;Точка продаж 10
14.05.2022;2022-05-14 08:00:00.000;6 738,5;Точка продаж 10
14.05.2022;2022-05-14 08:30:00.000;2 685,5;Точка продаж 10
14.05.2022;2022-05-14 09:00:00.000;3 304;Точка продаж 10
14.05.2022;2022-05-14 09:30:00.000;3 138;Точка продаж 10
14.05.2022;2022-05-14 10:00:00.000;2 042,5;Точка продаж 10
14.05.2022;2022-05-14 10:30:00.000;4 893;Точка продаж 10
14.05.2022;2022-05-14 11:00:00.000;7 855;Точка продаж 10
14.05.2022;2022-05-14 11:30:00.000;6 506,5;Точка продаж 10
14.05.2022;2022-05-14 12:00:00.000;4 439;Точка продаж 10
14.05.2022;2022-05-14 12:30:00.000;4 556,5;Точка продаж 10
14.05.2022;2022-05-14 13:00:00.000;7 224;Точка продаж 10
14.05.2022;2022-05-14 13:30:00.000;8 562,5;Точка продаж 10
14.05.2022;2022-05-14 14:00:00.000;9 282,5;Точка продаж 10
14.05.2022;2022-05-14 14:30:00.000;7 519,5;Точка продаж 10
14.05.2022;2022-05-14 15:00:00.000;7 681;Точка продаж 10
14.05.2022;2022-05-14 15:30:00.000;7 202;Точка продаж 10
14.05.2022;2022-05-14 16:00:00.000;5 484;Точка продаж 10
14.05.2022;2022-05-14 16:30:00.000;4 290;Точка продаж 10
14.05.2022;2022-05-14 17:00:00.000;8 498;Точка продаж 10
14.05.2022;2022-05-14 17:30:00.000;3 886,5;Точка продаж 10
14.05.2022;2022-05-14 18:00:00.000;2 851,5;Точка продаж 10
14.05.2022;2022-05-14 18:30:00.000;7 646,5;Точка продаж 10
14.05.2022;2022-05-14 19:00:00.000;6 224;Точка продаж 10
14.05.2022;2022-05-14 19:30:00.000;5 411;Точка продаж 10
14.05.2022;2022-05-14 20:00:00.000;4 257;Точка продаж 10
14.05.2022;2022-05-14 20:30:00.000;4 287,5;Точка продаж 10
14.05.2022;2022-05-14 21:00:00.000;1 922,5;Точка продаж 10
14.05.2022;2022-05-14 21:30:00.000;4 433,5;Точка продаж 10
14.05.2022;2022-05-14 22:00:00.000;4 655;Точка продаж 10
14.05.2022;2022-05-14 22:30:00.000;4 337;Точка продаж 10
14.05.2022;2022-05-14 23:00:00.000;4 107,5;Точка продаж 10
14.05.2022;2022-05-14 23:30:00.000;5 635,5;Точка продаж 10
14.05.2022;2022-05-14 03:30:00.000;1 495;Точка продаж 11
14.05.2022;2022-05-14 05:00:00.000;245;Точка продаж 11
14.05.2022;2022-05-14 05:30:00.000;300;Точка продаж 11
14.05.2022;2022-05-14 06:30:00.000;600;Точка продаж 11
14.05.2022;2022-05-14 07:00:00.000;875;Точка продаж 11
14.05.2022;2022-05-14 07:30:00.000;420;Точка продаж 11
14.05.2022;2022-05-14 08:00:00.000;2 150;Точка продаж 11
14.05.2022;2022-05-14 09:00:00.000;250;Точка продаж 11
14.05.2022;2022-05-14 10:00:00.000;500;Точка продаж 11
14.05.2022;2022-05-14 11:00:00.000;2 500;Точка продаж 11
14.05.2022;2022-05-14 13:30:00.000;1 050;Точка продаж 11
14.05.2022;2022-05-14 16:30:00.000;300;Точка продаж 11
14.05.2022;2022-05-14 17:30:00.000;750;Точка продаж 11
14.05.2022;2022-05-14 18:00:00.000;755;Точка продаж 11
14.05.2022;2022-05-14 18:30:00.000;1 500;Точка продаж 11
14.05.2022;2022-05-14 19:00:00.000;540;Точка продаж 11
14.05.2022;2022-05-14 20:00:00.000;395;Точка продаж 11
14.05.2022;2022-05-14 22:30:00.000;2 045;Точка продаж 11
14.05.2022;2022-05-14 23:00:00.000;925;Точка продаж 11
14.05.2022;2022-05-14 23:30:00.000;500;Точка продаж 11
14.05.2022;2022-05-14 00:00:00.000;2 838,5;Точка продаж 12
14.05.2022;2022-05-14 00:30:00.000;606;Точка продаж 12
14.05.2022;2022-05-14 01:00:00.000;522;Точка продаж 12
14.05.2022;2022-05-14 01:30:00.000;1 163;Точка продаж 12
14.05.2022;2022-05-14 02:00:00.000;552,5;Точка продаж 12
14.05.2022;2022-05-14 02:30:00.000;970;Точка продаж 12
14.05.2022;2022-05-14 03:00:00.000;622;Точка продаж 12
14.05.2022;2022-05-14 03:30:00.000;597;Точка продаж 12
14.05.2022;2022-05-14 04:00:00.000;875;Точка продаж 12
14.05.2022;2022-05-14 04:30:00.000;925;Точка продаж 12
14.05.2022;2022-05-14 05:00:00.000;1 571,5;Точка продаж 12
14.05.2022;2022-05-14 05:30:00.000;741;Точка продаж 12
14.05.2022;2022-05-14 06:00:00.000;1 095;Точка продаж 12
14.05.2022;2022-05-14 06:30:00.000;6 164;Точка продаж 12
14.05.2022;2022-05-14 07:00:00.000;1 827,5;Точка продаж 12
14.05.2022;2022-05-14 07:30:00.000;4 321,5;Точка продаж 12
14.05.2022;2022-05-14 08:00:00.000;6 068;Точка продаж 12
14.05.2022;2022-05-14 08:30:00.000;3 455;Точка продаж 12
14.05.2022;2022-05-14 09:00:00.000;2 992;Точка продаж 12
14.05.2022;2022-05-14 09:30:00.000;3 599;Точка продаж 12
14.05.2022;2022-05-14 10:00:00.000;1 527,5;Точка продаж 12
14.05.2022;2022-05-14 10:30:00.000;4 012,5;Точка продаж 12
14.05.2022;2022-05-14 11:00:00.000;4 170;Точка продаж 12
14.05.2022;2022-05-14 11:30:00.000;3 716;Точка продаж 12
14.05.2022;2022-05-14 12:00:00.000;7 168;Точка продаж 12
14.05.2022;2022-05-14 12:30:00.000;4 681,5;Точка продаж 12
14.05.2022;2022-05-14 13:00:00.000;4 838,5;Точка продаж 12
14.05.2022;2022-05-14 13:30:00.000;5 911,5;Точка продаж 12
14.05.2022;2022-05-14 14:00:00.000;4 469,5;Точка продаж 12
14.05.2022;2022-05-14 14:30:00.000;7 816;Точка продаж 12
14.05.2022;2022-05-14 15:00:00.000;6 995,5;Точка продаж 12
14.05.2022;2022-05-14 15:30:00.000;6 757,5;Точка продаж 12
14.05.2022;2022-05-14 16:00:00.000;3 964;Точка продаж 12
14.05.2022;2022-05-14 16:30:00.000;5 737,5;Точка продаж 12
14.05.2022;2022-05-14 17:00:00.000;4 348;Точка продаж 12
14.05.2022;2022-05-14 17:30:00.000;3 152,5;Точка продаж 12
14.05.2022;2022-05-14 18:00:00.000;3 886,5;Точка продаж 12
14.05.2022;2022-05-14 18:30:00.000;2 314;Точка продаж 12
14.05.2022;2022-05-14 19:00:00.000;4 807;Точка продаж 12
14.05.2022;2022-05-14 19:30:00.000;3 894;Точка продаж 12
14.05.2022;2022-05-14 20:00:00.000;2 585;Точка продаж 12
14.05.2022;2022-05-14 20:30:00.000;4 846;Точка продаж 12
14.05.2022;2022-05-14 21:00:00.000;2 982,5;Точка продаж 12
14.05.2022;2022-05-14 21:30:00.000;3 877;Точка продаж 12
14.05.2022;2022-05-14 22:00:00.000;7 158,5;Точка продаж 12
14.05.2022;2022-05-14 22:30:00.000;2 648,5;Точка продаж 12
14.05.2022;2022-05-14 23:00:00.000;5 109,5;Точка продаж 12
14.05.2022;2022-05-14 23:30:00.000;975,5;Точка продаж 12
14.05.2022;2022-05-14 00:30:00.000;765;Точка продаж 13
14.05.2022;2022-05-14 01:30:00.000;462;Точка продаж 13
14.05.2022;2022-05-14 02:30:00.000;2 840;Точка продаж 13
14.05.2022;2022-05-14 04:30:00.000;485;Точка продаж 13
14.05.2022;2022-05-14 05:00:00.000;845;Точка продаж 13
14.05.2022;2022-05-14 05:30:00.000;695;Точка продаж 13
14.05.2022;2022-05-14 06:00:00.000;422,5;Точка продаж 13
14.05.2022;2022-05-14 06:30:00.000;225;Точка продаж 13
14.05.2022;2022-05-14 07:00:00.000;1 280;Точка продаж 13
14.05.2022;2022-05-14 07:30:00.000;127,5;Точка продаж 13
14.05.2022;2022-05-14 08:30:00.000;330;Точка продаж 13
14.05.2022;2022-05-14 10:00:00.000;1 202,5;Точка продаж 13
14.05.2022;2022-05-14 11:30:00.000;122,5;Точка продаж 13
14.05.2022;2022-05-14 12:00:00.000;118,5;Точка продаж 13
14.05.2022;2022-05-14 12:30:00.000;377,5;Точка продаж 13
14.05.2022;2022-05-14 13:30:00.000;592,5;Точка продаж 13
14.05.2022;2022-05-14 14:00:00.000;512,5;Точка продаж 13
14.05.2022;2022-05-14 15:00:00.000;217,5;Точка продаж 13
14.05.2022;2022-05-14 15:30:00.000;637,5;Точка продаж 13
14.05.2022;2022-05-14 16:00:00.000;1 027,5;Точка продаж 13
14.05.2022;2022-05-14 16:30:00.000;735;Точка продаж 13
14.05.2022;2022-05-14 17:30:00.000;542,5;Точка продаж 13
14.05.2022;2022-05-14 18:00:00.000;1 265;Точка продаж 13
14.05.2022;2022-05-14 18:30:00.000;982,5;Точка продаж 13
14.05.2022;2022-05-14 19:00:00.000;2 065;Точка продаж 13
14.05.2022;2022-05-14 19:30:00.000;1 372,5;Точка продаж 13
14.05.2022;2022-05-14 20:00:00.000;1 160;Точка продаж 13
14.05.2022;2022-05-14 20:30:00.000;1 135;Точка продаж 13
14.05.2022;2022-05-14 00:00:00.000;1 930;Точка продаж 14
14.05.2022;2022-05-14 00:30:00.000;4 350;Точка продаж 14
14.05.2022;2022-05-14 05:00:00.000;3 800;Точка продаж 14
14.05.2022;2022-05-14 07:30:00.000;1 670;Точка продаж 14
14.05.2022;2022-05-14 08:00:00.000;2 540;Точка продаж 14
14.05.2022;2022-05-14 08:30:00.000;15 715;Точка продаж 14
14.05.2022;2022-05-14 09:00:00.000;550;Точка продаж 14
14.05.2022;2022-05-14 09:30:00.000;1 045;Точка продаж 14
14.05.2022;2022-05-14 10:00:00.000;1 440;Точка продаж 14
14.05.2022;2022-05-14 10:30:00.000;1 825;Точка продаж 14
14.05.2022;2022-05-14 17:00:00.000;3 000;Точка продаж 14
14.05.2022;2022-05-14 17:30:00.000;7 270;Точка продаж 14
14.05.2022;2022-05-14 18:30:00.000;4 340;Точка продаж 14
14.05.2022;2022-05-14 20:30:00.000;2 830;Точка продаж 14
14.05.2022;2022-05-14 22:00:00.000;42 845;Точка продаж 14
14.05.2022;2022-05-14 23:30:00.000;3 800;Точка продаж 14
14.05.2022;2022-05-14 00:00:00.000;7 405;Точка продаж 15
14.05.2022;2022-05-14 00:30:00.000;7 738,5;Точка продаж 15
14.05.2022;2022-05-14 01:00:00.000;5 900;Точка продаж 15
14.05.2022;2022-05-14 02:30:00.000;6 560;Точка продаж 15
14.05.2022;2022-05-14 06:00:00.000;4 940;Точка продаж 15
14.05.2022;2022-05-14 06:30:00.000;3 065;Точка продаж 15
14.05.2022;2022-05-14 07:30:00.000;16 845;Точка продаж 15
14.05.2022;2022-05-14 08:00:00.000;9 485;Точка продаж 15
14.05.2022;2022-05-14 09:30:00.000;6 755;Точка продаж 15
14.05.2022;2022-05-14 10:30:00.000;4 770;Точка продаж 15
14.05.2022;2022-05-14 11:00:00.000;12 970;Точка продаж 15
14.05.2022;2022-05-14 11:30:00.000;4 885;Точка продаж 15
14.05.2022;2022-05-14 12:00:00.000;8 155;Точка продаж 15
14.05.2022;2022-05-14 13:00:00.000;15 372,5;Точка продаж 15
14.05.2022;2022-05-14 13:30:00.000;5 165;Точка продаж 15
14.05.2022;2022-05-14 14:30:00.000;3 805;Точка продаж 15
14.05.2022;2022-05-14 17:00:00.000;3 180;Точка продаж 15
14.05.2022;2022-05-14 17:30:00.000;14 275;Точка продаж 15
14.05.2022;2022-05-14 18:00:00.000;3 230;Точка продаж 15
14.05.2022;2022-05-14 18:30:00.000;19 935;Точка продаж 15
14.05.2022;2022-05-14 19:30:00.000;11 048;Точка продаж 15
14.05.2022;2022-05-14 20:00:00.000;16 110;Точка продаж 15
14.05.2022;2022-05-14 20:30:00.000;14 681;Точка продаж 15
14.05.2022;2022-05-14 21:00:00.000;1 940;Точка продаж 15
14.05.2022;2022-05-14 21:30:00.000;3 810;Точка продаж 15
14.05.2022;2022-05-14 22:00:00.000;8 355;Точка продаж 15
14.05.2022;2022-05-14 22:30:00.000;9 945;Точка продаж 15
14.05.2022;2022-05-14 23:00:00.000;8 365;Точка продаж 15
14.05.2022;2022-05-14 23:30:00.000;2 400;Точка продаж 15
14.05.2022;2022-05-14 00:00:00.000;6 100;Точка продаж 16
14.05.2022;2022-05-14 00:30:00.000;3 310;Точка продаж 16
14.05.2022;2022-05-14 01:00:00.000;11 540;Точка продаж 16
14.05.2022;2022-05-14 02:30:00.000;1 705;Точка продаж 16
14.05.2022;2022-05-14 05:30:00.000;7 375;Точка продаж 16
14.05.2022;2022-05-14 06:00:00.000;945;Точка продаж 16
14.05.2022;2022-05-14 06:30:00.000;8 847,5;Точка продаж 16
14.05.2022;2022-05-14 07:00:00.000;5 665;Точка продаж 16
14.05.2022;2022-05-14 07:30:00.000;5 820;Точка продаж 16
14.05.2022;2022-05-14 08:00:00.000;9 710;Точка продаж 16
14.05.2022;2022-05-14 08:30:00.000;15 775;Точка продаж 16
14.05.2022;2022-05-14 09:00:00.000;9 365;Точка продаж 16
14.05.2022;2022-05-14 09:30:00.000;6 895;Точка продаж 16
14.05.2022;2022-05-14 10:00:00.000;2 830;Точка продаж 16
14.05.2022;2022-05-14 10:30:00.000;13 410,5;Точка продаж 16
14.05.2022;2022-05-14 11:00:00.000;9 215;Точка продаж 16
14.05.2022;2022-05-14 11:30:00.000;11 043;Точка продаж 16
14.05.2022;2022-05-14 12:00:00.000;22 990;Точка продаж 16
14.05.2022;2022-05-14 12:30:00.000;13 315;Точка продаж 16
14.05.2022;2022-05-14 13:00:00.000;13 830;Точка продаж 16
14.05.2022;2022-05-14 13:30:00.000;18 510;Точка продаж 16
14.05.2022;2022-05-14 14:00:00.000;26 385,5;Точка продаж 16
14.05.2022;2022-05-14 14:30:00.000;4 390;Точка продаж 16
14.05.2022;2022-05-14 15:00:00.000;21 895;Точка продаж 16
14.05.2022;2022-05-14 15:30:00.000;25 620;Точка продаж 16
